id,word,clue,length
1,ACCEPT,To agree to receive or take something,6
2,ENCOURAGE,To give support or confidence to someone,9
3,EXPLAIN,To make an idea or situation clear,7
4,POSSESS,To have or own something,8
5,EXPRESS,To convey thoughts or feelings,7
6,OCCUR,To happen or take place unexpectedly,5
7,WANDER,To walk without a specific goal,6
8,LOSE,To misplace or fail to keep something,4
9,CARE,To feel concern or interest in something,4
10,REQUIRE,To need something for a purpose,7
11,ACHIEVE,To successfully reach a goal,7
12,DECIDE,To make a choice or judgment,6
